"","X","Name","Rating","RatingCount","BoughtCount","Price","DeliveryFree","festival","count"
"1",2,"Preserved Red Real Rose Valentines Day Gifts for Her Present,Romantic Valentines Day Gifts for Wife Gifts from Husband,to My Love Valentines Day Gifts for Her Unique （Ring&White）",4.6,380,"100-1000",59.97,"Delivery","Valentine's Day",100
"2",3,"Iefil Valentines Day Gifts for Her - 925 Sterling Silver Heart Initial Necklace, Anniversary Birthday Gifts for Women, Jewelry Gifts for Women Wife Girlfriend Mom",4.4,480,"100-1000",69.99,"Delivery","Valentine's Day",500
"3",4,"JOYIN 28 Packs Valentine's Day Gift Cards with Mini Bears Plush Toy Party Favors, Mini Stuffed Animal Plush Toys Plush Toy for Valentines Day Gifts, Kids Classroom School Exchange Prize (Brown Bear)",4.6,700,"100-1000",32.99,"Delivery","Valentine's Day",700
"4",5,"Valentines Day Gifts for Her, Him, Wife, Husband, Couple, I Love You Romantic Gifts for Boyfriend Girlfriend, Anniversary Perfect Gifts for Women Men, Handmade Crochet Pickle",4.8,39,"100-1000",9.99,"Delivery","Valentine's Day",700
"5",6,"Valentines Day Gifts for Her Him - Hand Massager with Compression & Heating,Birthday Gifts for Women Men Mom Dad,Gifts for Women Men Mom Dad Her Him Boyfrend Girlfriend(White)",4.1,3880,"Over 1000",29.98,"Delivery","Valentine's Day",5000
"6",7,"Iefil Valentines Day Gifts for Her - 925 Sterling Silver Rose Heart Initial Necklace, Anniversary Birthday Gifts for Women, Jewelry Gifts for Her Wife Girlfriend Mom Women",4.5,1905,"100-1000",69.99,NA,"Valentine's Day",300
"7",8,"Preserved Red Real Rose Valentines Day Gifts for Her Present,Romantic Valentines Day Gifts for Wife Gifts from Husband,to My Love Valentines Day Gifts for Her Unique （Ring&White）",4.6,380,"100-1000",59.97,NA,"Valentine's Day",100
"8",9,"Iefil Valentines Day Gifts for Her - 925 Sterling Silver Rose Heart Initial Necklaces, Anniversary Birthday Gifts for Women, Jewelry Gifts for Wife Girlfriend Mom Daughter Her",4.6,641,"Less than 100",59.99,NA,"Valentine's Day",50
"9",10,"Iefil Valentines Day Gifts for Her - 925 Sterling Silver Heart Initial Necklace, Anniversary Birthday Gifts for Women, Jewelry Gifts for Women Wife Girlfriend Mom",4.4,480,"100-1000",69.99,NA,"Valentine's Day",500
"10",12,"Valentines Day Gifts for Her, Fuzzy Socks for Women, Galentines Day Gifts, Christmas Stocking Stuffers Gifts for Women",4.7,36,"Over 1000",11.59,"Delivery","Valentine's Day",2000
"11",13,"Simple Modern Valentines Day 40 oz Tumbler with Handle and Straw Lid | Gift Insulated Reusable Stainless Steel Water Bottle Travel Mug Cupholder Use | Gifts for Women | Trek Collection | Red Hearts",4.8,35032,"Less than 100",29.99,"$9.59 delivery","Valentine's Day",NA
"12",14,"Valentines Day Gifts for Her Him, 40 Scratch Off Date Ideas Gifts for Boyfriend Girlfriend, Anniversary Birthday Engagement Couple Gifts Christmas Stocking Stuffers for Adults Men Women Husband Wife",4.8,10,"Over 1000",9.99,"Delivery","Valentine's Day",2000
"13",15,"Emotional Support V-Day Nugget Cards by Relatable, Valentine's Plush, Perfect Valentines Cards for Kids Classroom or Gift for Work Friends, Includes 10 Plushies with 10 Cards and a Carrying Case",4.8,3482,"Over 1000",14.99,"$7.86 delivery","Valentine's Day",2000
