"","Name","Rating","RatingCount","BoughtCount","Price","DeliveryFree","DeliveryDate","festival"
"1","Amazon Essentials Star Wars Valentine's Day Love from R2-D2 T-Shirt","4.1 out of 5 stars, rating details","20 ratings",NA,NA,NA,NA,"Valentine's Day"
"2","Preserved Red Real Rose Valentines Day Gifts for Her Present,Romantic Valentines Day Gifts for Wife Gifts from Husband,to My Love Valentines Day Gifts for Her Unique （Ring&White）","4.6 out of 5 stars, rating details","380 ratings","100+ bought in past month","$59
97","Delivery","Fri, Jan 24","Valentine's Day"
"3","Iefil Valentines Day Gifts for Her - 925 Sterling Silver Heart Initial Necklace, Anniversary Birthday Gifts for Women, Jewelry Gifts for Women Wife Girlfriend Mom","4.4 out of 5 stars, rating details","480 ratings","500+ bought in past month","$69
99","Delivery","Mon, Jan 27","Valentine's Day"
"4","JOYIN 28 Packs Valentine's Day Gift Cards with Mini Bears Plush Toy Party Favors, Mini Stuffed Animal Plush Toys Plush Toy for Valentines Day Gifts, Kids Classroom School Exchange Prize (Brown Bear)","4.6 out of 5 stars, rating details","700 ratings","700+ bought in past month","$32
99","Delivery","Fri, Jan 24","Valentine's Day"
"5","Valentines Day Gifts for Her, Him, Wife, Husband, Couple, I Love You Romantic Gifts for Boyfriend Girlfriend, Anniversary Perfect Gifts for Women Men, Handmade Crochet Pickle","4.8 out of 5 stars, rating details","39 ratings","700+ bought in past month","$9
99","Delivery","Fri, Jan 24","Valentine's Day"
"6","Valentines Day Gifts for Her Him - Hand Massager with Compression & Heating,Birthday Gifts for Women Men Mom Dad,Gifts for Women Men Mom Dad Her Him Boyfrend Girlfriend(White)","4.1 out of 5 stars, rating details","3,880 ratings","5K+ bought in past month","$29
98","Delivery","Fri, Jan 24","Valentine's Day"
"7","Iefil Valentines Day Gifts for Her - 925 Sterling Silver Rose Heart Initial Necklace, Anniversary Birthday Gifts for Women, Jewelry Gifts for Her Wife Girlfriend Mom Women","4.5 out of 5 stars, rating details","1,905 ratings","300+ bought in past month","$69
99",NA,NA,"Valentine's Day"
"8","Preserved Red Real Rose Valentines Day Gifts for Her Present,Romantic Valentines Day Gifts for Wife Gifts from Husband,to My Love Valentines Day Gifts for Her Unique （Ring&White）","4.6 out of 5 stars, rating details","380 ratings","100+ bought in past month","$59
97",NA,NA,"Valentine's Day"
"9","Iefil Valentines Day Gifts for Her - 925 Sterling Silver Rose Heart Initial Necklaces, Anniversary Birthday Gifts for Women, Jewelry Gifts for Wife Girlfriend Mom Daughter Her","4.6 out of 5 stars, rating details","641 ratings","50+ bought in past month","$59
99",NA,NA,"Valentine's Day"
"10","Iefil Valentines Day Gifts for Her - 925 Sterling Silver Heart Initial Necklace, Anniversary Birthday Gifts for Women, Jewelry Gifts for Women Wife Girlfriend Mom","4.4 out of 5 stars, rating details","480 ratings","500+ bought in past month","$69
99",NA,NA,"Valentine's Day"
"11","","4.5 out of 5 stars, rating details","47 ratings",NA,"",NA,NA,"Valentine's Day"
"12","Valentines Day Gifts for Her, Fuzzy Socks for Women, Galentines Day Gifts, Christmas Stocking Stuffers Gifts for Women","4.7 out of 5 stars, rating details","36 ratings","2K+ bought in past month","$11
59","Delivery","Mon, Jan 27","Valentine's Day"
"13","Simple Modern Valentines Day 40 oz Tumbler with Handle and Straw Lid | Gift Insulated Reusable Stainless Steel Water Bottle Travel Mug Cupholder Use | Gifts for Women | Trek Collection | Red Hearts","4.8 out of 5 stars, rating details","35,032 ratings",NA,"$29
99","$9.59 delivery",NA,"Valentine's Day"
